Pattern,issue,output,1_example,2_examples,3_examples,4_examples,5_examples,6_examples,7_examples,8_examples
ETD_TRYING_TO,"Question: """""" Hi guys! I had set my docker private registry and i'm trying to push an tagged image. When i run command bellow i get infinitely error Retrying in X seconds I have a [<-LINK->] Any one faced problem 'Retrying in X seconds' when pushing an image to private registry:2? nephilimboy: I changed my nginx.conf not to use upstream on proxy_pass. i worked. It cause  DNS lookup error. """"""
Answer: ","The sentence """""" I had set my docker private registry and i'm trying to push an tagged image """""" uses <pattern>trying to VB</pattern> to describe the expectation of the user . The answer is YES.",0,0,0,1,0,0,1,0
ETD_GOING_TO,"Question: """""" Architecting an in-house solution for DL4J training. I'm getting ready to acquire some servers that I'm going to use to train via Apache Spark. My question is... If I scale horizontally (the more servers added), is the efficiency of training going to be linear or logarithmic? Or in other words, is network chatter across nodes going to hamper the effectiveness of training as I add more nodes? Are there other problems in the mix? """""" 
Answer: ","The sentence """""" I'm getting ready to acquire some servers that I'm going to use to train via Apache Spark. """""" uses <pattern>going to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,0,1,0
ETD_CONSIDER_ACTION,"Question: """""" Hi Everyone,  I'm considering configuring a multi-project repo.  I realise that the nx tools exist but wandered how far I can get with the standard angular-cli setup.  Indeed I would rather not have to really on a further tool beyond angular cli.  I've read that Angular CLI supports multi project repos :https://angular.io/guide/file-structure#multiple-projects. However I'm after information of how to configure build and test of these atomically (along with how to transition from a traditional angular CLI repo).  I was wandering whether any of you friendly folk may have written an article on this (accessible if not registered on medium) or indeed have any tips? """""" 
Answer: ","The sentence """""" I'm considering configuring a multi-project repo. """""" uses <pattern>considering VBG</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,0,1,0
ETD_CAN_QUESTION,"Question: """""" Hi guys. How can I use Docker with Angular CLI? I want to be able to build my app and push it to a production docker container that is serving nginx as well. So the problem is, I want to build a dist folder in the docker container, and during development I would be able to watch the folder and serve the webapp Anyone could provide some guidance on how I could do this? """""" 
Answer: ","The sentence """""" How can I use Docker with Angular CLI? """""" uses <pattern>how can I VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,0,1,1
ETD_SUPPOSED_TO,"Question: """""" Hey guys, I have a problem mounting my local folder with docker-compose. Anybody having the same problem on OSX? When i try to set the folder in which my docker-composer.yml and my Dockerfile are as a volume which is supposed to be stored in /var/www/html for instance, It wont work. Even if I check manually via shell while the container is up and running. marcelmfs: I dont want to use an ADD from wihtin the dockerfile because I need to be able to change the files live, while the container is running, since its going to be a dev environment. marcelmfs: I think I have figured it out :) """""" 
Answer: ","The sentence """""" which is supposed to be stored in /var/www/html for instance """""" uses <pattern>supposed to VB</pattern> to describe the expectation of the user. The answer is YES.",1,0,0,0,0,0,1,0
ETD_IMPLEMENT,"Question: """""" Hi everyone, I just wanted to seek for some advice regarding Folder structure/ architecture when building a PWA app with Angular. I've been trying to find some tutorials or articles online but couldn't find any (I did find something last week but wasn't able to save the url of that article, although that link didn't also include any sample code just more on thoery) """""" 
Answer: ","The sentence """""" when building a PWA app with Angular """""" uses <pattern>building sth. with</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,1,0
ETD_THINK_ABOUT,"Question: """""" Hello everyone, does anyone know if there is an 'Angular way' of solving the font flickering (so called FOUT) problem? I have been thinking about using spinners, loaders or some sort of a css trick prior to the Angular bootstrapping or an HTTP request or the component loading, but this doesn't appear to me to be a problem-solver. The shortest way would probably be rel=""preload"" alongside the link of my google font, but I am worried about performance. And this approach also comes with a handy of other problems. """""" 
Answer: ","The sentence """""" I have been thinking about using spinners """""" uses <pattern>thinking about VBG</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,0,1,0
ETD_EXPECTED,"Question: """""" I am using angularfire library to delete a record in the realtime DB and nebular dialog box. now this funtion has deleted all records one by one which was not expected as I expect it to delete only one record. what is wrong in this function ? seems like some infinite loop is running? """""" 
Answer: ","The sentence """""" now this funtion has deleted all records one by one which was not expected as I expect it to delete only one record. """""" uses <pattern>expect it to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,1,0,0,0,1
ETD_NEED_TO,"Question: """""" I have my app component, routing, and a few main routes with a few main route components. I need to split the routed to component in half and put a nav bar in between it's two sections. But I do not want the nav bar to reload every time I route to a new component. How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" 
Answer: ","The sentence """""" I need to split the routed to component in half and put a nav bar in between it's two sections. """""" uses <pattern>need to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,1,0,1,0,1
ETD_WOULD_LIKE,"Question: """""" Hi all. Have an interesting use case. I would like to run docker swarm in such a way that allows nodes to have a mounted volume in a running container, that the manager isnotable to access. Is this possible? artifactory  [<-LINK->] ECR will give you trouble because it rotates the password every few hours so you have to use theawsclito generate a new one """""" 
Answer: ","The sentence """""" I would like to run docker swarm in such a way that allows nodes to have a mounted volume in a running container """""" uses <pattern>would like to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,0,0
ETD_PLAN,"Question: """""" I am moving from Java and .Net on the backend too looking at Node with an Angular 2 front end. Since I am planning on using the Angular CLI, Webpack package. Has anyone integrated this template with the server side, connect to a database and provide a descent example? instead of having the ngFor on its own element, have you placed it as a attribute on the other elements? So it is not in the resulting DOM structure which interferes with the CSS """""" 
Answer: ","The sentence """""" Since I am planning on using the Angular CLI, """""" uses <pattern>planning on VBG</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,0,1
ETD_HAVE_TO,"Question: """""" Just asking my question from earlier again in hopes someone who knows a good bit about RL4J sees it: Can i expect success  from a reinforcement learning agent that has to choose between 744 different actions (actionsize=744)? """""" 
Answer: ","The sentence """""" Can i expect success  from a reinforcement learning agent that has to choose between 744 different actions (actionsize=744)? """""" uses <pattern>has to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,1,0,1
ETD_FOR_EXAMPLE,"Question: """""" How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me """""" 
Answer:","The sentence """""" Let's say I want to set the width of some child element in a property? """""" uses an example start with <pattern>let's say I want to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,0,0
ETD_ATTEMPT,"Question: """""" So I caught that bizarre problem I'd been facing. The traps worked. [<-CODE->]  [<-CODE->] What's a little odd, that @ShanonJackson pointed out is, freeze doesn't normally throw when attempting to re-assign a property. When I try it in node, I don't get an error, however, when I try it on the playground it does """""" 
Answer: ","The sentence """""" freeze doesn't normally throw when attempting to re-assign a property """""" uses <pattern>attempting to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,0,0,0
ETD_LOOKING_TO,"Question: """""" hey guys, i am looking for active github repositories that need technical revisions in the README files. It is for a technical writing project. :) """""" 
Answer: ","The sentence """""" i am looking for active github repositories that need technical revisions in the README files """""" uses <pattern>looking for sth</pattern> to describe the expectation of the user. The answer is YES.",0,0,1,0,1,0,0,0
ETD_BETTER_TO,"Question: """""" Hi @mlc-mlapis , Thank you once again for the great explanation. small question, even if I can't work with NG bindings,  I still can access HTML elements using ```querySelector```, ```getElementById``` like methods in the ```somePureHtmlCode```,  and bind events or do page navigations can't I? Or to gain full DOM control is it better to use an iFrame instead? Thank you very much. """""" 
Answer: ","The sentence """""" Or to gain full DOM control is it better to use an iFrame instead? """""" uses <pattern>better to VB</pattern> to describe the expectation of the user. The answer is YES.",0,1,0,1,0,0,0,0
ETD_WANT_TO,"Question: """""" Hello! New to ng2, i am using the cli and everytime I use it to create a component it also adds it to the app.module.ts declarations array. Do I have to do that for every single component? Nope, Guess i just want to know more about it """""" 
Answer: ","The sentence """""" Guess i just want to know more about it """""" uses <pattern>want to VB</pattern> to describe the expectation of the user. The answer is YES.",0,1,1,0,0,0,0,1
ETD_BE_POSSIBLE_TO,"Question: """""" Hi all,  is there a way I can use ngSwitch and have the ngSwitchCase blocks render a specific ID referenced ng-template somewhere further down the document? I am asking from a purely organizational perspective. Is it possible to create a <ng-template #someReferenceId/> and then render it as an ngSwitchCase? """""" 
Answer: ","The sentence """""" Is it possible to create a <ng-template #someReferenceId/> and then render it as an ngSwitchCase? """""" uses <pattern>is it possible to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,1,0,0,0,0,1
